ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Unit Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
350,"7232060001","072320600017","MEIJI YAN YAN CHOCOLATE CREME",,"1","0.00","0.000","2.50",,,,,"Tax","SNACKS / MUNCHIES",,"UNKNOWN","1.00",1,"100.00",0,0,"D",0,"general",0,"03002",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
351,"7232060003","072320600031","MEIJI YAN YAN STRAWBERRY CREME","MISC","1","0.00","0.000","2.50",,,,,"Tax","SNACKS / MUNCHIES",,"UNKNOWN","0.00",0,"100.00",0,0,"D",0,"general",0,"33761",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
352,"7232070076","072320700762","MEIJI HELLO PANDA CHOCOLATE",,"1","0.00","0.000","2.00",,,,,"Tax","SNACKS / MUNCHIES",,"UNKNOWN","0.00",0,"100.00",1,0,"D",0,"general",0,"96118",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
353,"7232070084","072320700847","MEIJI HELLO PANDA CARAMEL",,"1","0.00","0.000","2.00",,,,,"Tax","SNACKS / MUNCHIES",,"UNKNOWN","4.00",4,"100.00",1,0,"D",0,"general",0,"59105",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
354,"7232070100","072320701004","MEIJI CHOCOROOMS CHOCOLATE",,"1","0.00","0.000","2.00",,,,,"Tax","SNACKS / MUNCHIES",,"UNKNOWN","5.00",5,"100.00",0,0,"D",0,"general",0,"91777",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
358,"7441074213","074410742133","RAMUNE GRAPE 6.76OZ","6.76OZ","1","0.00","0.000","6.00",,,,,"Tax","BEVERAGES",,"UNKNOWN","0.00",0,"100.00",1,1,"D",0,"general",0,"68583",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
359,"7339002642","073390026424","MENTOS CHEWY MINTS TUBE RAINBOW 1.32OZ","1.32OZ","1","14.49","14.490","2.00",,,,,"Tax","SNACKS / MUNCHIES",,"JETRO","13.00",13,"-624.50",0,0,"D",0,"general",0,"98084",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
360,"7460116231","074601162313","HELLO KITTY LOTTEPIE","MISC","1","0.00","0.000","16.99",,,,,"Tax","SNACKS / MUNCHIES",,"UNKNOWN","0.00",0,"100.00",1,0,"D",0,"general",0,"46616",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
361,"7641090162","076410901626","LANCE TOASTY PEANUT BUTTER","MISC","1","0.00","0.000","1.50",,,,,"Tax","SNACKS / MUNCHIES",,"UNKNOWN","0.00",0,"100.00",2,2,"D",0,"general",0,"94898",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
362,"7641090163","076410901633","TOAST CHEE PEANUT BUTTER","1.52OZ","1","0.00","0.000","1.50",,,,,"Tax","SNACKS / MUNCHIES",,"UNKNOWN","0.00",0,"100.00",1,1,"D",0,"general",0,"86468",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
363,"7717012242","077170122429","OCB CONE BAMBOO 1/4 6PK",,"1","1.14","1.140","3.00",,,,,"Tax","ROLLING PAPERS & CONES",,"HIGHEST GOODS","30.00",30,"62.00",32,2,"B",0,"general",0,"47374",32,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
364,"7717012244","077170122443","OCB CONE BAMBOO KING 3PK",,"1","0.00","0.000","3.00",,,,,"Tax","ROLLING PAPERS & CONES",,"UNKNOWN","3.00",3,"100.00",32,2,"B",0,"general",0,"75482",32,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
365,"7717012269","077170122696","OCB CONE BAMBOO MINI 10PK",,"1","0.00","0.000","3.00",,,,,"Tax","ROLLING PAPERS & CONES",,"Nepa 305","0.00",0,"100.00",24,3,"D",0,"general",0,"17067",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
